Section,Area,Frontend Screen Available,Create/Edit/Delete Available,Backend Support Available,Daniel Enters First,Beta Pilot Ready,Blocks Real Clinic Use
Readiness,"Organisation, legal entity, clinics","Yes: settings clinic list, create clinic, edit clinic settings","Create/edit available; no hard delete","Yes: organisation, legal entity and clinic routes exist","Organisation, legal entity, active clinics, addresses, timezone, contact metadata","Mostly ready","Legal entity/org setup may not be fully surfaced in the primary setup flow"
Readiness,"Users and staff","Yes: Manage Users","Create/edit/reset password; no delete","Yes: clinic user routes and permission routes exist","Owner/admin, managers, clinical staff, home clinic, roles, passwords, MFA readiness","Mostly ready","Staff profile depth is minimal; permissions beyond role may need admin workflow exposure"
Readiness,"Suppliers","Yes: supplier master list and supplier detail","Create/edit/activate toggle; no hard delete","Yes: global supplier routes, catalogue/import support, relationship/contract APIs","Supplier names, contacts, active status, supplier SKUs/prices if using PO intelligence","Partially ready","Supplier master is usable, but clinic-specific supplier relationships/contracts are not fully exposed in the main setup flow"
Readiness,"Products and inventory","Yes: inventory list and add product","Create product and adjust stock; edit/delete product not clearly available","Partial: product create exists; inventory list/get/adjust exists; no product list API","Master SKU, product name, unit, reorder threshold, initial stock per clinic","Partially ready","No obvious product edit/deactivate screen; initial stock setup depends on manual adjustments after product creation"
Readiness,"Stock levels","Yes: inventory scanner, adjustment page, adjustment history","Adjust, deduct, receive; no bulk count entry","Yes: scan and adjustment routes","Opening count for each product at each clinic, reorder thresholds, barcodes","Partially ready","Real clinic onboarding needs a faster opening stock count workflow or bulk import"
Readiness,"Purchase orders","Yes: purchase orders page","Submit generated draft POs and export CSV; no manual PO creation screen","Yes: list/get/submit routes","Inventory items below reorder point and supplier pricing links","Partially ready","POs appear driven by reorder logic; manual real-world ordering is limited"
Readiness,"Receiving","Yes: inventory receive scanner and PO receiving links","Receive stock through scanner; no PO auto-close on receipt","Yes: scan receive and adjustment history routes","Submitted PO references, barcodes/SKUs, delivery quantities, delivery reference","Partially ready","Receiving updates stock but does not automatically reconcile or close purchase orders"
Readiness,"OCR invoice upload","Yes: upload modal and invoice review page","Upload, patch invoice metadata, edit lines, confirm","Yes: supplier invoice upload/list/get/update/confirm routes; production OCR needs ANTHROPIC_API_KEY","Suppliers, clinic scope, invoice PDFs/images, supplier matching and line review data","Pilot-risk","OCR/infrastructure failure path needs live environment verification; unmatched-line product creation is not available in the UI"
Readiness,"Rosters","Yes: roster calendar","Create/edit/delete shifts","Yes: roster routes","Staff users, clinic, shift dates/times, roles/notes","Mostly ready","Beta quality depends on staff data being complete enough for scheduling"
Readiness,"Timesheets","Yes: timesheets and my shifts","Clock in/out, manual entries, approve/reject, commission verification","Yes: payroll timesheet routes","Staff users, active shifts or manual clock entries, approval owners","Mostly ready","Clock in/out discoverability and permission clarity should be verified with pilot users"
Readiness,"Leave","Yes: leave page","Create, approve, reject, withdraw","Yes: leave routes","Staff users, leave dates, leave type/reason, approver workflow","Mostly ready","Leave balances/accruals are not evident; use as request workflow only for beta"
Readiness,"Budgets and forecasts","Materials and labor forecast screens exist; no budget setup screen found","Forecasts are read-only; budget create/edit not available","Materials and labor forecast endpoints exist; budget module not evident","Rosters, inventory consumption history, stock levels; budget values unavailable","Not ready for budget pilot","Budget variance/spend budgets cannot be used until a real budget data model and setup flow exists"
Checklist,"Step 1: organisation/legal entity/clinics",,,,,,"Create/verify organisation context, legal entity, pilot clinic records, timezone, address, active status"
Checklist,"Step 2: users/staff",,,,,,"Create Daniel/admin, managers, clinical staff; assign roles, home clinics, passwords, MFA readiness"
Checklist,"Step 3: suppliers",,,,,,"Enter supplier master records, contacts, active status; add catalogue/pricing where available"
Checklist,"Step 4: products/inventory",,,,,,"Create products/SKUs with names, units, barcodes, reorder thresholds and clinic inventory records"
Checklist,"Step 5: stock counts",,,,,,"Enter opening stock per product per clinic through manual adjustment or scanner receive workflow"
Checklist,"Step 6: purchase orders",,,,,,"Review generated draft PO lines from low stock; ensure supplier pricing is linked before submitting"
Checklist,"Step 7: receiving",,,,,,"Receive delivered stock through inventory scanner using PO/delivery references; verify adjustment history"
Checklist,"Step 8: OCR invoices",,,,,,"Upload real invoice PDFs/images, review supplier matching and line extraction, confirm invoice only after manual QA"
Checklist,"Step 9: roster/timesheets",,,,,,"Create shifts, test My Shifts visibility, clock in/out, approval and commission verification workflows"
Checklist,"Step 10: budgets/forecasts",,,,,,"Use materials/labor forecasts only after enough roster and inventory history exists; defer budget variance until configured"
Fix,"Critical: bootstrap production with real pilot entities",,,,,,"Demo seed is development/test-only; production needs bootstrap admin plus manual clinics/users/products/suppliers"
Fix,"Critical: first-run pilot setup path",,,,,,"Daniel needs an unambiguous order for clinics, users, suppliers, products, stock counts"
Fix,"Critical: verify OCR upload in beta environment",,,,,,"Confirm storage, OCR, permissions and ANTHROPIC_API_KEY before relying on invoice beta"
Fix,"High: product edit/deactivate path",,,,,,"Mistyped SKUs, units and reorder thresholds will happen during real data entry"
Fix,"High: product/catalog list management",,,,,,"Backend has product creation and inventory views, but no dedicated product list API for catalog administration"
Fix,"High: opening stock count workflow",,,,,,"Manual one-item adjustments are too slow for clinic onboarding at real inventory scale"
Fix,"High: PO lifecycle after receiving",,,,,,"Stock receipt works, but PO status does not auto-reconcile, which can confuse real operations"
Fix,"Medium: supplier master versus clinic-specific relationships",,,,,,"Pilot users need to know what is global and what is clinic-scoped"
Fix,"Medium: keep budget UI empty until budget module exists",,,,,,"Avoid fabricated budget variance or spend figures in beta"
